,MJD,DM,DMError,Flux,FluxError,Width,PeakFrequency,PeakFrequencyError,BandWidth,BandWidthError,Fluence,FluenceError,Energy,RM,RMErrorLeft,RMErrorRight,Linear,LinearError,Circular,CircularError
954,59903.50018,220.53,0.15,63.8,0.8,7.53,1059.3,3.4,171.9,9,0.481,0.006,34.69,-2.1,0.8,0.9,103.8,2.7,3.7,1.8
955,59903.50044,219.48,0.13,36,0.4,2.7,997,9.6,105.2,13.1,0.097,0.001,7.01,-6.5,5.4,5.3,94.4,7.5,8.1,5.5
956,59903.50055,221.76,0.18,30.4,0.4,2.73,1116.2,5.1,167.3,15.3,0.083,0.001,6,-6.3,3.3,3.2,97.9,7.9,5.6,5.6
957,59903.50147,224.27,0.06,71.7,0.9,4.38,1169.4,4.2,165.7,12.9,0.314,0.004,22.68,-0.7,1.2,1.2,102.9,3.8,0.9,2.6
958,59903.50147,221.61,2.63,253.4,3.1,6.29,1015.2,5.1,209.3,8.4,1.595,0.019,115.06,-0.9,0.4,0.4,96.5,1,14.8,0.7
959,59903.50175,221.67,0.24,47.4,0.6,5.54,1095,3,141.9,8.4,0.262,0.003,18.93,1.1,1.8,1.8,97.9,5.2,2.7,3.7
960,59903.50197,220.43,3.01,31.9,0.4,2.29,1345.2,22.5,256.6,89.7,0.073,0.001,5.27,-20.7,14.2,15.3,65.6,10.3,-4.2,8.7
961,59903.50306,222.77,0.05,557.2,6.7,21.55,1048.4,7.3,332.2,17.5,12.008,0.145,866.21,1.5,0,0,98.7,0.2,7.7,0.1
962,59903.50309,222.68,0.26,92.3,1.1,8.07,1238.2,4.9,428.5,117.1,0.745,0.009,53.76,-2.7,0.5,0.5,94.5,1.6,-14.4,1.2
963,59903.50339,220.58,0.09,381,4.6,7.1,1067.3,2.8,232.4,7.4,2.706,0.033,195.19,-1.7,0.1,0.1,99.2,0.4,-9.3,0.3
964,59903.50343,219.95,0.28,23.1,0.3,2.49,999.1,10.3,56.6,13.1,0.058,0.001,4.15,-44.3,50,49.1,111.5,14.5,8.4,9.7
